player,span,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,0s,4s,6s
KL Rahul,2013-2021,88,79,15,2978,132*,46.53,2192,135.85,2,25,1,261,120
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Iqbal Abdulla,2008-2017,49,13,11,88,33*,44.00,84,104.76,0,0,1,9,1
DA Warner,2009-2021,148,148,19,5447,126,42.22,3887,140.13,4,50,7,525,201
KS Williamson,2015-2021,57,56,14,1747,89,41.59,1302,134.17,0,16,1,149,55
JM Bairstow,2019-2021,28,28,3,1038,114,41.52,730,142.19,1,7,2,99,46
AB de Villiers,2008-2021,176,162,38,5056,133*,40.77,3318,152.38,3,40,9,406,245
MS Dhoni,2008-2021,211,186,70,4669,84*,40.25,3417,136.64,0,23,4,317,217
CH Gayle,2009-2021,140,139,16,4950,175*,40.24,3312,149.45,6,31,8,403,357
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
JP Duminy,2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79
MEK Hussey,2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
V Kohli,2008-2021,199,191,31,6076,113,37.97,4659,130.41,5,40,6,524,205
KP Pietersen,2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40
ML Hayden,2008-2010,32,32,2,1107,93,36.90,805,137.51,0,8,1,121,44
RD Gaikwad,2020-2021,13,13,2,400,75,36.36,321,124.61,0,5,2,41,11
A Symonds,2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41
S Dhawan,2008-2021,184,183,25,5577,106*,35.29,4379,127.35,2,44,10,634,116
RR Pant,2016-2021,76,76,11,2292,128*,35.26,1530,149.80,1,14,4,208,107
JC Buttler,2016-2021,65,64,8,1968,124,35.14,1312,150.00,1,11,1,194,90
F du Plessis,2012-2021,91,84,9,2622,96,34.96,2001,131.03,0,20,4,234,86
SR Tendulkar,2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
SPD Smith,2012-2021,101,91,21,2437,101,34.81,1898,128.39,1,11,1,221,59
CA Lynn,2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66
OA Shah,2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23
DA Miller,2012-2021,86,84,26,1952,101*,33.65,1413,138.14,1,10,3,137,90
D Padikkal,2020-2021,21,21,1,668,101*,33.40,507,131.75,1,5,0,73,17
BJ Hodge,2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43
SK Raina,2008-2021,200,195,29,5491,100*,33.07,4012,136.86,1,39,8,502,202
Q de Kock,2013-2021,72,72,5,2114,108,31.55,1599,132.20,1,15,3,216,79
AM Rahane,2008-2021,151,141,16,3941,105*,31.52,3248,121.33,2,28,13,417,76
RG Sharma,2008-2021,207,202,28,5480,109*,31.49,4199,130.50,1,40,13,476,224
SS Iyer,2015-2020,79,79,9,2200,96,31.42,1745,126.07,0,16,5,189,83
G Gambhir,2008-2018,154,152,16,4217,93,31.00,3404,123.88,0,36,12,492,59
SR Watson,2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
KA Pollard,2010-2021,171,154,50,3191,87*,30.68,2115,150.87,0,16,4,207,211
S Badrinath,2008-2013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
Shubman Gill,2018-2021,48,45,10,1071,76,30.60,862,124.24,0,7,1,101,29
MK Pandey,2008-2021,151,140,26,3461,114*,30.35,2842,121.78,1,20,12,300,101
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8
SA Yadav,2012-2021,108,93,19,2197,79*,29.68,1624,135.28,0,12,5,243,63
AT Rayudu,2010-2021,166,156,28,3795,100*,29.64,2970,127.77,1,20,13,314,145
RS Bopara,2009-2015,24,22,4,531,84,29.50,453,117.21,0,3,2,39,16
AD Russell,2012-2021,81,68,11,1680,88*,29.47,937,179.29,0,9,2,117,142
TM Head,2016-2017,10,10,3,205,75*,29.28,148,138.51,0,1,1,12,8
YK Pathan,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
SV Samson,2013-2021,114,110,11,2861,119,28.89,2122,134.82,3,13,8,217,126
MK Tiwary,2008-2018,98,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40
DPMD Jayawardene,2008-2013,80,78,15,1802,110*,28.60,1462,123.25,1,10,2,200,39
