player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
harpreet-brar,2021,29,4,2,0,1,0,200.0,3.0,0,19,1,6.33,4,0,0,0,0,0
prabhsimran-singh,2021,29,12,16,1,0,1,75.0,0,0,0,0,0,0,0,0,0,0,0
dawid-malan,2021,29,26,26,1,1,1,100.0,0,0,0,0,0,0,0,0,1,0,0
riley-meredith,0,0,0,0,0,0,0,0,3.4,0,35,1,9.54,7,2,2,0,0,0
chris-jordan,2021,29,2,3,1,0,0,66.66,2.0,0,21,1,10.5,4,2,1,0,0,0
mohammed-shami,0,0,0,0,0,0,0,0,3.0,0,37,0,12.33,6,5,2,0,0,0
chris-gayle,2021,29,13,9,1,1,1,144.44,0,0,0,0,0,0,0,0,0,0,0
mayank-agarwal,2021,29,99,58,0,8,4,170.68,0,0,0,0,0,0,0,0,1,0,0
shahrukh-khan,2021,29,4,5,1,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0
ravi-bishnoi,0,0,0,0,0,0,0,0,4.0,0,42,0,10.5,7,3,3,0,0,0
deepak-hooda,2021,29,1,1,1,0,0,100.0,2.0,0,11,0,5.5,3,0,0,0,0,0
lalit-yadav,0,0,0,0,0,0,0,0,3.0,0,25,0,8.33,2,2,0,1,0,0
prithvi-shaw,2021,29,39,22,1,3,3,177.27,0,0,0,0,0,0,0,0,0,0,0
kagiso-rabada,0,0,0,0,0,0,0,0,4.0,0,36,3,9.0,6,0,3,0,0,0
avesh-khan,0,0,0,0,0,0,0,0,4.0,0,39,1,9.75,8,5,1,0,0,0
shikhar-dhawan,2021,29,69,47,0,6,2,146.8,0,0,0,0,0,0,0,0,0,0,0
steven-smith,2021,29,24,22,1,1,0,109.09,0,0,0,0,0,0,0,0,1,0,0
ishant-sharma,0,0,0,0,0,0,0,0,4.0,1,37,0,9.25,9,2,3,0,0,0
shimron-hetmyer,2021,29,16,4,0,1,2,400.0,0,0,0,0,0,0,0,0,1,1,0
rishabh-pant,2021,29,14,11,1,1,1,127.27,0,0,0,0,0,0,0,0,0,0,0
axar-patel,0,0,0,0,0,0,0,0,4.0,0,21,1,5.25,11,2,0,0,1,0
marcus-stoinis,0,0,0,0,0,0,0,0,1.0,0,6,0,6.0,0,0,0,0,0,0
mustafizur-rahman,0,0,0,0,0,0,0,0,4.0,0,20,3,5.0,12,2,0,0,0,0
kartik-tyagi,0,0,0,0,0,0,0,0,4.0,0,32,1,8.0,13,3,2,0,0,0
sanju-samson,2021,28,48,33,1,4,2,145.45,0,0,0,0,0,0,0,0,0,0,0
yashasvi-jaiswal,2021,28,12,13,1,2,0,92.3,0,0,0,0,0,0,0,0,0,0,0
riyan-parag,2021,28,15,8,0,0,1,187.5,0,0,0,0,0,0,0,0,0,0,0
david-miller,2021,28,7,3,0,0,1,233.33,0,0,0,0,0,0,0,0,1,0,0
jos-buttler,2021,28,124,64,1,11,8,193.75,0,0,0,0,0,0,0,0,0,0,0
chris-morris,0,0,0,0,0,0,0,0,4.0,0,29,3,7.25,8,3,0,2,0,0
anuj-rawat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
rahul-tewatia,0,0,0,0,0,0,0,0,4.0,0,45,1,11.25,2,2,3,0,0,0
chetan-sakariya,0,0,0,0,0,0,0,0,4.0,0,38,0,9.5,7,3,2,0,0,0
manish-pandey,2021,28,31,20,1,3,2,155.0,0,0,0,0,0,0,0,0,0,0,0
bhuvneshwar-kumar,2021,28,14,10,0,2,0,140.0,4.0,0,37,0,9.25,7,4,1,0,0,0
kedar-jadhav,2021,28,19,19,1,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0
rashid-khan,2021,28,0,2,1,0,0,0.0,4.0,0,24,1,6.0,10,3,0,0,0,0
