,Player-name,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played
0,vijay-shankar,29.47826086956522,15.478260869565217,0.1956521739130435,123.26945945945944,3.847608695652174,46
1,bhuvneshwar-kumar,34.0,0.92,1.08,73.94928571428571,7.6676,50
2,anrich-nortje,41.9375,0.4375,1.375,161.10999999999999,8.47375,16
3,mitchell-marsh,-2.0,0.0,0.0,0.0,9.0,1
4,pat-cummins,45.36363636363637,9.575757575757576,1.0909090909090908,134.2808695652174,8.185151515151516,33
5,suryakumar-yadav,39.12698412698413,26.88888888888889,0.0,128.0903448275862,0.0,63
6,ambati-rayudu,35.43859649122807,25.789473684210527,0.0,109.96074074074075,0.0,57
7,jos-buttler,50.627450980392155,33.588235294117645,0.0,139.286,0.0,51
8,suresh-raina,38.490566037735846,26.28301886792453,0.018867924528301886,114.73596153846152,1.0849056603773586,53
9,nicholas-pooran,31.035714285714285,19.607142857142858,0.0,146.11520000000002,0.0,28
10,rishabh-pant,51.323076923076925,32.16923076923077,0.0,134.53476923076923,0.0,65
11,shahbaz-ahmed,33.57142857142857,3.4285714285714284,0.8571428571428571,90.68,5.5,7
12,shreyas-gopal,33.75609756097561,3.8292682926829267,1.0,103.9335294117647,8.206341463414635,41
13,rinku-singh,14.5,7.7,0.0,99.02499999999999,0.0,10
14,riley-meredith,20.0,0.0,0.8,0.0,10.24,5
15,siddarth-kaul,35.921052631578945,0.07894736842105263,1.263157894736842,24.444,8.801052631578948,38
16,chetan-sakariya,29.857142857142858,0.0,1.0,0.0,8.142857142857142,7
17,harbhajan-singh,27.736842105263158,1.3157894736842106,0.8157894736842105,95.01846153846154,7.588684210526316,38
18,chris-morris,56.54054054054054,8.432432432432432,1.4324324324324325,124.61,8.46945945945946,37
19,ravichandran-ashwin,29.770833333333332,3.9166666666666665,0.8125,108.91400000000002,7.770416666666667,48
20,hardik-pandya,44.223880597014926,18.582089552238806,0.5671641791044776,157.0592063492063,5.463880597014925,67
21,yuzvendra-chahal,34.80952380952381,0.4444444444444444,1.0952380952380953,43.780833333333334,7.597619047619047,63
22,navdeep-saini,20.333333333333332,1.1481481481481481,0.6296296296296297,69.145,8.756666666666666,27
23,wriddhiman-saha,30.8,18.97142857142857,0.0,115.66,0.0,35
