sr.no,player,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s

1,klrahul,88,79,15,2978,132*,46.53,"2,192",135.85,2,25,261,120
2,adamvoges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
3,hashimamla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
4,iqbalabdulla,49,13,11,88,33*,44.00,84,104.76,0,0,9,1
5,davidwarner,148,148,19,5447,126,42.22,"3,887",140.13,4,50,525,201
6,kanewilliamson,57,56,14,1747,89,41.59,"1,302",134.17,0,16,150,55
7,jonnybairstow,28,28,3,1038,114,41.52,730,142.19,1,7,99,46
8,abdevilliers,176,162,38,5056,133*,40.77,"3,318",152.38,3,40,406,245
9,paulcollingwood,8,7,2,203,75*,40.60,156,130.12,0,3,9,13
10,msdhoni,211,186,70,4669,84*,40.25,"3,417",136.64,0,23,317,217
11,chrisgayle,140,139,16,4950,175*,40.24,"3,312",149.45,6,31,404,357
12,lendlsimmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
13,shaunmarsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
14,jpduminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
15,michaelhussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
16,viratkohli,199,191,31,6076,113,37.97,"4,659",130.41,5,40,524,205
17,kevinpietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
18,matthewhayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
19,ruturajgaikwad,13,13,2,400,75,36.36,321,124.61,0,5,41,11
20,andrewsymonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
21,shikhardhawan,184,183,25,5577,106*,35.29,"4,379",127.35,2,44,634,116
22,rishabhpant,76,76,11,2292,128*,35.26,"1,530",149.80,1,14,208,107
23,josbuttler,65,64,8,1968,124,35.14,"1,312",150.00,1,11,194,90
24,fafduplessis,91,84,9,2622,96,34.96,"2,001",131.03,0,20,234,86
25,sachintendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
26,stevesmith,101,91,21,2437,101,34.81,"1,898",128.39,1,11,221,59
27,chrislynn,42,42,3,1329,93*,34.07,945,140.63,0,10,132,66
28,jagadeeshasuchith,17,8,6,68,34*,34.00,53,128.30,0,0,6,3
29,owaisshah,23,22,7,506,76,33.73,389,130.07,0,4,34,23
30,davidmiller,86,84,26,1952,101*,33.65,"1,413",138.14,1,10,137,90
31,devduttpadikkal,21,21,1,668,101*,33.40,507,131.75,1,5,73,17
32,bradhodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
33,sureshraina,200,195,29,5491,100*,33.07,"4,011",136.89,1,39,502,202
34,benrohrer,8,8,2,193,64*,32.16,140,137.85,0,1,21,5
35,basilthampi,20,8,7,32,13*,32.00,35,91.42,0,0,1,1
36,davidwiese,15,8,4,127,47*,31.75,90,141.11,0,0,12,4
37,quintondekock,72,72,5,2114,108,31.55,"1,599",132.20,1,15,216,79
38,ajinkyarahane,151,141,16,3941,105*,31.52,"3,248",121.33,2,28,417,76
39,rohitsharma,207,202,28,5480,109*,31.49,"4,199",130.50,1,40,476,224
40,shreyasiyer,79,79,9,2200,96,31.42,"1,745",126.07,0,16,189,83
41,gautamgambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
42,shanewatson,145,141,16,3874,117*,30.99,"2,809",137.91,4,21,376,190
43,kieronpollard,171,154,50,3191,87*,30.68,"2,115",150.87,0,16,207,211
44,subramaniambadrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
45,shubmangill,48,45,10,1071,76,30.60,862,124.24,0,7,101,29
46,manishpandey,151,140,26,3461,114*,30.35,"2,842",121.78,1,20,300,101
47,nirajpatel,9,6,2,121,57,30.25,119,101.68,0,1,14,1
48,jasonroy,8,8,2,179,91*,29.83,134,133.58,0,1,18,8
49,jamesfranklin,20,16,5,327,79,29.72,301,108.63,0,1,25,8
50,suryakumaryadav,108,93,19,2197,79*,29.68,"1,624",135.28,0,12,243,63
51,ambatirayudu,166,156,28,3795,100*,29.64,"2,970",127.77,1,20,314,145
52,ravibopara,24,22,4,531,84,29.50,453,117.21,0,3,39,16
53,andrerussell,81,68,11,1680,88*,29.47,937,179.29,0,9,117,142
54,travishead,10,10,3,205,75*,29.28,148,138.51,0,1,12,8
55,yusufpathan,174,154,44,3204,100,29.12,"2,241",142.97,1,13,262,158
56,sanjusamson,114,110,11,2861,119,28.89,"2,122",134.82,3,13,217,126
57,manojtiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
58,mahelajayawardene,80,78,15,1802,110*,28.60,"1,462",123.25,1,10,200,39
59,jacqueskallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
60,graemesmith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
61,dwaynesmith,91,89,5,2385,87*,28.39,"1,764",135.20,0,17,245,117
62,nitishrana,67,62,4,1638,87,28.24,"1,224",133.82,0,13,148,81
63,rahuldravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
64,markboucher,31,24,10,394,50*,28.14,309,127.50,0,1,32,13
65,marcusstoinis,54,48,16,896,65,28.00,650,137.84,0,4,75,35
66,shadabjakati,59,8,7,28,13,28.00,29,96.55,0,0,3,0
67,robinuthappa,189,182,17,4607,87,27.92,"3,544",129.99,0,24,454,163
