season,match,status,toss-team,toss-decision,venue
2021,29,result,delhi-capitals,bowl,"Narendra Modi Stadium, Ahmedabad"
2021,28,result,sunrisers-hyderabad,bowl,"Arun Jaitley Stadium, Delhi"
2021,27,result,mumbai-indians,bowl,"Arun Jaitley Stadium, Delhi"
2021,26,result,royal-challengers-bangalore,bowl,"Narendra Modi Stadium, Ahmedabad"
2021,25,result,delhi-capitals,bowl,"Narendra Modi Stadium, Ahmedabad"
2021,24,result,mumbai-indians,bowl,"Arun Jaitley Stadium, Delhi"
2021,23,result,sunrisers-hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2021,22,result,delhi-capitals,bowl,"Narendra Modi Stadium, Ahmedabad"
2021,21,result,kolkata-knight-riders,bowl,"Narendra Modi Stadium, Ahmedabad"
2021,20,result,delhi-capitals,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,19,result,chennai-super-kings,bat,"Wankhede Stadium, Mumbai"
2021,18,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2021,17,result,punjab-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,16,result,royal-challengers-bangalore,bowl,"Wankhede Stadium, Mumbai"
2021,15,result,kolkata-knight-riders,bowl,"Wankhede Stadium, Mumbai"
2021,14,result,punjab-kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,13,result,mumbai-indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,12,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2021,11,result,delhi-capitals,bowl,"Wankhede Stadium, Mumbai"
2021,10,result,royal-challengers-bangalore,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,9,result,mumbai-indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,8,result,chennai-super-kings,bowl,"Wankhede Stadium, Mumbai"
2021,7,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2021,6,result,sunrisers-hyderabad,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,5,result,kolkata-knight-riders,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,4,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2021,3,result,sunrisers-hyderabad,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2021,2,result,delhi-capitals,bowl,"Wankhede Stadium, Mumbai"
2021,1,result,royal-challengers-bangalore,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2020,60,result,delhi-capitals,bat,Dubai International Cricket Stadium
2020,59,result,delhi-capitals,bat,"Sheikh Zayed Stadium, Abu Dhabi"
2020,58,result,sunrisers-hyderabad,bowl,"Sheikh Zayed Stadium, Abu Dhabi"
2020,57,result,delhi-capitals,bowl,Dubai International Cricket Stadium
2020,56,result,sunrisers-hyderabad,bowl,Sharjah Cricket Stadium
2020,55,result,delhi-capitals,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,54,result,rajasthan-royals,bowl,Dubai International Cricket Stadium
2020,53,result,chennai-super-kings,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,52,result,sunrisers-hyderabad,bowl,Sharjah Cricket Stadium
2020,51,result,mumbai-indians,bowl,Dubai International Cricket Stadium
2020,50,result,rajasthan-royals,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,49,result,chennai-super-kings,bowl,Dubai International Cricket Stadium
2020,48,result,mumbai-indians,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,47,result,delhi-capitals,bowl,Dubai International Cricket Stadium
2020,46,result,kings-xi-punjab,bowl,Sharjah Cricket Stadium
2020,45,result,mumbai-indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,44,result,royal-challengers-bangalore,bat,Dubai International Cricket Stadium
2020,43,result,sunrisers-hyderabad,bowl,Dubai International Cricket Stadium
2020,42,result,delhi-capitals,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,41,result,mumbai-indians,bowl,Sharjah Cricket Stadium
2020,40,result,sunrisers-hyderabad,bowl,Dubai International Cricket Stadium
2020,39,result,kolkata-knight-riders,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,38,result,delhi-capitals,bat,Dubai International Cricket Stadium
2020,37,result,chennai-super-kings,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,36,result,mumbai-indians,bat,Dubai International Cricket Stadium
2020,35,result,sunrisers-hyderabad,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,34,result,chennai-super-kings,bat,Sharjah Cricket Stadium
2020,33,result,rajasthan-royals,bat,Dubai International Cricket Stadium
2020,32,result,kolkata-knight-riders,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,31,result,royal-challengers-bangalore,bat,Sharjah Cricket Stadium
2020,30,result,delhi-capitals,bat,Dubai International Cricket Stadium
2020,29,result,chennai-super-kings,bat,Dubai International Cricket Stadium
2020,28,result,royal-challengers-bangalore,bat,Sharjah Cricket Stadium
2020,27,result,delhi-capitals,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,26,result,sunrisers-hyderabad,bat,Dubai International Cricket Stadium
2020,25,result,royal-challengers-bangalore,bat,Dubai International Cricket Stadium
2020,24,result,kolkata-knight-riders,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,23,result,rajasthan-royals,bowl,Sharjah Cricket Stadium
2020,22,result,sunrisers-hyderabad,bat,Dubai International Cricket Stadium
2020,21,result,kolkata-knight-riders,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,20,result,mumbai-indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,19,result,royal-challengers-bangalore,bowl,Dubai International Cricket Stadium
2020,18,result,kings-xi-punjab,bat,Dubai International Cricket Stadium
2020,17,result,mumbai-indians,bat,Sharjah Cricket Stadium
2020,16,result,kolkata-knight-riders,bowl,Sharjah Cricket Stadium
2020,15,result,rajasthan-royals,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,14,result,sunrisers-hyderabad,bat,Dubai International Cricket Stadium
2020,13,result,kings-xi-punjab,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,12,result,rajasthan-royals,bowl,Dubai International Cricket Stadium
2020,11,result,delhi-capitals,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,10,result,mumbai-indians,bowl,Dubai International Cricket Stadium
2020,9,result,rajasthan-royals,bowl,Sharjah Cricket Stadium
2020,8,result,sunrisers-hyderabad,bat,"Zayed Cricket Stadium, Abu Dhabi"
2020,7,result,chennai-super-kings,bowl,Dubai International Cricket Stadium
2020,6,result,royal-challengers-bangalore,bowl,Dubai International Cricket Stadium
2020,5,result,kolkata-knight-riders,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2020,4,result,chennai-super-kings,bowl,Sharjah Cricket Stadium
2020,3,result,sunrisers-hyderabad,bowl,Dubai International Cricket Stadium
2020,2,result,kings-xi-punjab,bowl,Dubai International Cricket Stadium
2020,1,result,chennai-super-kings,bowl,"Zayed Cricket Stadium, Abu Dhabi"
2019,60,result,mumbai-indians,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,59,result,chennai-super-kings,bowl,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam"
2019,58,result,delhi-capitals,bowl,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam"
2019,57,result,chennai-super-kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,56,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2019,55,result,kings-xi-punjab,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,54,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,53,result,rajasthan-royals,bat,"Feroz Shah Kotla, Delhi"
2019,52,result,kolkata-knight-riders,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,51,result,mumbai-indians,bat,"Wankhede Stadium, Mumbai"
2019,50,result,delhi-capitals,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,49,no result,rajasthan-royals,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,48,result,kings-xi-punjab,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,47,result,mumbai-indians,bowl,"Eden Gardens, Kolkata"
2019,46,result,delhi-capitals,bat,"Feroz Shah Kotla, Delhi"
2019,45,result,rajasthan-royals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,44,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,43,result,rajasthan-royals,bowl,"Eden Gardens, Kolkata"
2019,42,result,kings-xi-punjab,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,41,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,40,result,delhi-capitals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,39,result,chennai-super-kings,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,38,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,37,result,delhi-capitals,bowl,"Feroz Shah Kotla, Delhi"
2019,36,result,rajasthan-royals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,35,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
