,points
631,4
2731,22
616,43
4252,19
3461,25
2149,45
4737,6
4937,1
1338,8
279,54
3770,19
512,119
1218,8
2259,35
1302,13
2945,16
4616,50
3489,0
829,20
4211,8
3234,45
625,54
367,62
3672,18
1777,24
1593,56
4205,38
4475,2
1906,80
1483,104
3136,101
2904,0
4814,-6
1382,50
4122,66
3507,16
1731,0
3547,99
4894,7
1889,12
4640,89
2850,0
2569,17
298,97
4139,3
3009,27
525,13
217,59
4858,72
3944,22
2295,49
2138,42
1764,1
2523,89
1299,14
558,-2
755,13
1757,111
201,2
1771,-4
3586,101
2580,36
3188,28
611,21
2165,18
1807,4
3155,16
2622,0
4464,21
221,76
653,11
1892,21
3007,21
2770,27
4444,12
1191,31
1920,20
2197,2
4893,11
1847,31
1587,93
2860,40
3676,40
1516,-6
634,52
902,45
2803,59
1957,59
3200,82
3617,83
4505,33
113,0
2340,18
4874,33
178,31
3270,102
1288,29
2957,54
3077,134
2586,25
165,24
4050,25
2433,79
4210,124
4247,88
560,138
104,20
2397,38
2110,12
4656,79
3258,10
2988,25
3727,31
1852,57
2383,48
163,25
3612,86
3216,37
3060,37
405,21
4751,53
2818,82
1561,6
145,8
3817,136
1296,54
2831,0
905,20
2019,23
1740,-2
4722,0
4602,31
4004,19
4245,33
1923,14
124,0
1139,28
3722,117
2034,38
2239,54
3219,0
435,33
3815,6
208,45
788,2
1378,28
3995,82
3947,62
4896,5
3583,31
61,8
1354,25
3204,4
3266,58
2268,55
514,49
487,9
2097,66
794,2
4223,5
737,25
1820,14
1910,48
1359,31
2483,2
1163,41
2979,42
3401,25
2155,82
3495,75
793,0
3497,0
68,151
1949,0
3595,0
2758,101
111,31
1669,41
3285,37
3571,11
4449,22
4920,67
3854,43
2581,1
4178,4
1859,35
2636,37
743,8
3562,20
3235,-2
2186,24
1435,1
3853,5
3273,13
4618,33
621,73
577,36
2799,0
1112,25
98,21
2358,33
571,58
4018,5
538,1
3288,59
3532,11
1913,37
4514,-4
2715,15
4158,85
295,6
4513,25
287,48
962,0
2164,16
4936,57
1558,30
3924,42
2289,16
105,25
1178,58
2920,62
4183,26
3483,79
2310,6
1115,58
992,81
2514,56
2311,37
1933,0
4771,44
1829,105
4349,151
2267,15
3521,-2
1250,4
675,49
4838,93
2443,62
1823,2
1491,47
4678,72
970,0
240,-4
4545,3
3937,77
332,26
840,28
594,52
1988,38
4540,80
3623,83
876,20
4904,-2
4859,48
2260,47
23,14
4060,60
2137,78
543,47
225,10
2173,5
1904,18
203,61
56,3
3321,19
1776,105
4539,63
4720,6
3976,25
2250,78
2802,48
3790,13
903,117
2750,57
2070,56
4860,50
2302,75
3123,-2
2104,48
3618,19
4817,35
117,55
1022,19
4472,9
1963,6
187,87
2398,110
4204,-4
1736,44
470,6
2719,84
701,29
2938,121
4711,103
3207,56
3262,67
835,12
3860,52
3745,9
3953,25
1899,0
4371,42
4221,-4
4644,12
1073,0
1341,74
2633,16
2025,35
2729,0
1986,0
3656,101
4861,0
2546,138
3594,16
2151,25
4415,37
1858,21
4748,-2
3929,34
3490,112
1124,4
3866,125
3712,19
492,79
128,39
1146,97
417,9
4795,10
3903,5
4251,25
