,points
2697,68
1548,-1
1658,58
3224,57
4226,35
4447,11
2080,-2
4578,62
1096,20
2758,101
976,26
1272,48
525,13
1730,0
1386,6
301,16
46,0
4781,57
1531,36
1987,60
3764,58
4061,17
3542,34
439,46
1553,-6
4546,16
1907,19
3354,42
818,40
234,14
3184,60
477,0
103,72
3273,13
2224,31
2247,0
3722,117
138,72
4504,9
4019,0
3953,25
2609,12
3080,6
2066,5
2331,25
1472,37
2800,20
227,0
3276,66
3562,20
96,0
4373,46
2040,31
3282,30
2350,2
721,54
3050,70
3581,8
474,34
4143,3
3236,127
957,46
1267,39
1627,59
285,85
193,48
3060,37
4773,33
4189,8
692,108
2328,-6
4708,47
195,35
4309,3
2590,0
4518,61
1347,0
1989,24
1670,13
3092,4
663,0
2254,48
4128,1
521,25
2240,0
3787,27
1407,27
3254,31
3328,69
2041,77
3560,23
2871,24
62,27
1019,3
3239,52
1003,24
361,1
3977,0
3250,84
1340,33
3020,40
3336,24
1189,3
4006,5
1529,101
962,0
2843,10
2075,25
3548,-4
3292,25
899,7
2956,112
687,39
3312,3
366,0
4094,130
4522,54
4285,66
4118,93
3256,33
1513,50
4839,34
821,49
2946,29
3559,19
666,2
996,47
4341,110
50,82
1413,97
2088,50
2951,21
323,102
1377,44
2657,26
5,-2
2938,121
4044,71
972,15
3013,56
1339,2
3726,131
605,101
373,57
3561,7
4861,0
1125,-2
3723,23
1310,0
3044,80
1172,44
4936,57
2261,8
3448,49
541,2
4725,50
2559,49
4951,34
912,32
1990,79
3848,68
343,47
4517,0
1851,15
1897,45
1237,64
1051,87
2255,5
2005,10
2150,-2
4133,-2
1993,26
1067,40
1148,4
4700,91
3898,8
2525,51
1826,10
4690,0
1252,25
146,101
3530,1
383,124
2944,53
3935,60
2531,66
1439,10
1894,50
3925,20
2856,52
3537,40
1975,8
2351,84
3622,64
419,12
3229,5
1898,14
299,25
2113,34
3836,98
457,51
4672,32
1014,3
326,27
705,6
1994,95
695,58
3054,4
402,-6
4629,-6
3426,0
2596,48
4350,50
1105,27
3028,35
1864,58
1173,21
2868,58
891,22
1700,8
1571,-2
4553,31
2159,62
3707,16
444,62
2233,54
4290,2
3720,6
1368,6
2822,7
819,18
462,31
3042,64
1176,31
4611,25
660,8
4138,29
3163,116
4901,40
3761,66
579,29
621,73
1203,-4
4113,9
575,0
2723,6
3334,66
4637,33
859,7
3961,51
927,29
3392,33
4054,26
2607,35
4543,66
4279,32
1446,9
2129,30
989,99
175,21
1020,92
4771,44
1177,2
3601,90
2917,5
4875,33
2931,39
2830,25
4718,43
1293,17
3539,10
4399,19
1650,17
933,11
3671,50
276,31
3350,10
4340,25
3135,17
507,60
4082,11
3495,75
3095,14
1696,33
337,-2
512,119
4673,171
3748,0
247,37
4470,28
1692,25
3177,15
626,81
77,9
4640,89
4595,29
3147,35
1459,52
610,25
4756,95
836,23
2903,16
3310,10
1564,3
2792,24
3319,131
2029,25
1924,58
587,66
4797,10
4462,3
3402,41
315,33
832,7
1397,27
1357,56
3822,105
529,10
844,0
4188,66
1867,79
2670,35
3729,-2
1920,20
3494,69
382,21
1353,32
1429,9
1190,92
355,-2
1167,12
3281,27
3100,34
396,25
4183,26
3437,30
2565,86
4677,33
2480,107
3297,25
4680,34
535,68
3508,4
1382,50
2158,49
3122,50
3637,21
261,26
1115,58
4347,6
1744,27
2038,38
1216,50
3538,102
280,37
546,62
3157,23
2204,30
1116,79
2914,57
493,68
155,3
2608,0
3546,-2
2011,101
4876,94
1174,26
3389,2
93,8
4920,67
2785,145
661,8
3088,86
2458,-1
1607,34
2383,48
3556,83
3420,0
221,76
3872,54
3922,0
4303,28
1902,58
4268,89
233,8
1389,78
2197,2
1664,11
4078,4
2548,42
633,1
3351,115
4739,18
3816,-6
2418,8
171,35
3268,21
3520,23
4581,9
1633,52
119,50
2017,-4
532,14
2257,39
4421,33
4650,0
1078,0
2516,7
3267,39
322,38
2628,56
2948,25
1585,13
3621,1
3109,55
2189,-2
3059,45
1685,17
3926,48
3367,34
4235,47
2139,56
3469,21
2424,34
2874,0
4941,103
3231,21
966,78
2465,7
1088,51
2229,13
3747,0
3065,-2
2671,90
140,8
4510,30
2732,6
3264,96
1606,79
651,91
3782,54
2447,24
4229,52
33,16
3471,62
699,6
4355,102
3162,27
4119,35
948,74
3259,141
3680,58
3380,8
1671,80
1870,64
3578,8
2012,91
4353,26
913,21
1508,31
497,29
3477,110
607,139
2116,0
4335,21
1356,65
2985,6
2294,37
3340,87
2863,9
805,95
391,17
1790,1
4822,57
3783,147
2597,0
36,20
3758,91
1158,0
1970,18
3481,8
2850,0
2373,4
1913,37
4081,50
1693,160
3993,36
1367,25
1490,-2
1881,60
2050,12
1915,45
2510,49
2461,2
4451,39
4602,31
3769,14
2796,6
4655,118
4318,38
1824,28
4276,47
153,0
3924,42
795,15
424,0
1406,42
986,0
2683,45
776,99
4092,27
1901,33
4633,19
1578,58
3427,0
3911,-2
1438,66
2114,48
3368,28
3582,0
451,28
135,-6
4445,35
802,37
2966,0
3123,-2
2167,49
2003,33
2784,136
3841,61
3131,72
4443,-1
2695,28
1933,0
2839,6
1046,1
4675,35
4181,39
588,3
3460,72
2248,106
4015,65
414,25
4308,25
2324,6
2231,1
22,91
3415,31
2921,107
2781,6
3030,25
4763,16
2332,46
617,22
1706,6
2992,31
306,25
779,120
2743,53
1498,20
3696,66
102,0
4062,13
703,79
245,11
3057,2
975,14
262,132
1829,105
1236,8
3482,25
1674,81
1045,20
654,35
1345,18
257,16
3657,43
4464,21
1110,0
0,14
283,64
3569,59
3265,23
3043,33
4959,17
428,64
1541,19
1103,12
501,11
4220,48
3784,21
3724,16
545,68
1514,12
3105,8
89,26
1091,38
4200,60
573,18
177,40
2342,126
2681,0
3638,57
303,8
3557,19
3462,31
732,-6
1487,7
2469,22
1539,40
473,8
3884,3
1154,36
3269,66
2713,10
1057,142
4306,6
3151,64
630,9
3651,61
4185,86
482,98
2655,90
2933,23
266,80
3597,66
973,165
2728,26
4612,-1
3971,33
259,18
3217,39
1355,37
1069,21
1563,27
4593,25
3564,54
1503,19
1449,27
4311,3
3983,25
506,13
3905,14
2030,6
3901,49
4846,0
3294,29
1496,118
4643,19
1694,0
1708,13
1523,8
4676,97
2861,5
31,103
808,0
1396,74
37,-2
2967,52
453,-3
1691,133
2392,60
700,11
1833,22
1471,42
2999,62
894,108
3791,25
1331,36
997,-2
2144,43
112,46
1830,13
2472,80
858,42
4053,31
2077,13
577,36
2069,6
4683,128
762,29
1509,-2
2932,9
696,16
1015,11
4239,12
1657,31
2955,23
2623,-2
4314,24
4863,34
2490,1
874,21
494,-2
1716,25
3703,10
4632,0
2866,100
1940,0
2416,8
1549,90
1653,52
950,86
3383,29
1900,50
2694,36
4219,8
2340,18
1721,68
1379,16
1542,52
1185,-4
2687,57
445,85
3886,90
3133,4
4933,79
2958,48
3549,14
2737,21
4924,-4
4269,29
4871,2
622,33
3089,34
3502,26
1590,41
3766,80
1436,37
2227,8
1304,52
3419,7
3658,31
1823,2
567,36
328,16
4213,36
4203,3
2308,49
230,17
1853,19
2579,54
41,42
2362,3
4845,9
1464,76
3630,28
3033,5
2062,49
905,20
4479,22
1555,63
3800,76
2374,72
2026,16
2386,35
4371,42
4929,25
1404,88
1672,12
809,36
2398,110
3878,0
2230,8
4753,5
4250,54
255,35
2355,50
4042,13
1121,31
1425,38
2198,-2
1150,8
3592,2
3286,-2
4745,16
4163,28
4691,66
2576,23
4196,15
3468,38
1390,-1
3306,142
1911,17
1107,9
990,22
3717,5
2333,103
2138,42
3483,79
2583,29
1234,46
4294,85
1318,45
4726,30
4273,53
116,62
2072,27
3742,16
4838,93
288,33
2631,30
2115,27
4879,36
1960,8
864,16
3290,131
1942,25
1349,6
117,55
4193,5
2795,-3
2286,94
4754,61
379,51
411,14
3820,5
3255,25
3811,64
3851,58
4736,29
4868,110
2004,64
822,27
2978,4
1479,16
122,90
3330,85
3659,29
3034,60
3627,12
884,0
3446,16
3428,12
2237,142
4116,16
559,54
300,33
2918,44
3668,28
3516,33
3458,87
268,20
4393,8
1336,-2
4796,75
3793,72
2251,31
2979,42
1608,21
1044,-2
1268,53
1712,2
2209,19
2099,63
1485,6
3856,69
1625,39
4429,-5
197,60
1818,30
1783,41
4784,9
1770,62
4599,26
3952,46
1295,48
202,1
4528,0
1131,39
4483,30
1647,36
2509,132
4921,85
2820,46
4900,38
3602,0
3167,0
4778,3
3986,18
3823,6
4513,25
4881,1
1182,14
4407,60
4746,26
70,72
2364,21
1785,46
4645,20
3954,39
2405,-4
2599,3
3178,4
1043,0
1981,19
1617,64
3670,32
2442,86
479,37
3110,57
3937,77
3309,14
505,97
616,43
1120,0
3045,58
886,84
316,0
2284,87
2659,83
1391,-6
2249,25
3572,18
669,146
4761,27
2045,73
375,111
4131,30
4779,33
1568,24
4300,25
3491,30
2154,8
260,58
1371,6
333,43
2499,25
1738,8
4192,82
2527,14
4550,29
3439,9
1364,5
1912,84
1729,87
2775,105
1726,35
4398,97
2258,26
709,142
895,58
513,88
4730,7
1521,0
242,35
2163,35
3939,35
4194,33
1491,47
1811,109
4424,190
2968,0
1467,37
3760,68
3266,58
2226,0
2235,-2
2013,7
3847,27
4050,25
3837,25
2515,58
1165,21
589,-4
4040,59
1184,25
3682,15
4442,29
3613,9
4653,0
187,87
75,25
2055,3
1447,21
867,33
3099,33
4298,42
2974,9
2616,25
137,2
2626,34
2913,27
1886,18
1474,120
4423,53
1286,2
1839,37
582,76
3915,63
571,58
4154,-2
1149,46
3396,18
694,25
870,134
1022,19
2767,74
652,11
978,8
1962,50
3865,-6
2192,63
4085,77
359,28
4291,0
2310,6
2297,99
4774,-1
228,25
205,68
3751,3
3063,65
1343,0
4665,1
486,38
4248,63
4227,14
1132,0
1932,11
3745,9
1489,62
4493,86
2259,35
1702,0
2879,87
1644,9
3385,33
2533,84
2899,51
2885,25
1380,19
1926,17
1486,25
49,8
1317,1
287,48
2939,32
2805,25
3920,67
3876,17
1100,8
1259,0
3598,74
1615,68
1492,35
3712,19
1950,4
2403,60
2662,1
642,0
2928,28
1262,96
1255,8
206,6
4826,97
2976,2
647,19
1740,-2
2851,96
1957,59
118,45
2288,137
3435,12
4368,42
4559,6
2060,0
2736,6
3441,8
2122,38
751,53
643,6
1991,1
4327,50
3172,8
1895,36
3519,28
3287,3
2346,41
2232,0
386,37
3701,108
4333,58
1877,39
4913,39
1316,9
3534,25
551,16
2171,56
2677,-6
4656,79
806,8
4376,0
817,11
4741,76
3839,33
3061,34
3358,62
1119,28
4145,37
4597,79
2864,74
2145,25
2791,3
162,14
2023,30
4885,102
4907,25
26,28
475,134
4099,59
271,0
376,-2
4166,31
4354,46
4091,9
1850,14
2128,-2
2131,25
4815,67
4224,50
4343,100
2162,76
2875,9
680,34
3108,-6
3186,26
348,6
1642,50
3689,79
4636,108
799,27
500,10
2731,22
908,39
334,14
3728,6
2309,85
4160,88
2517,25
4631,2
608,0
4088,16
2721,29
3649,13
3103,65
3076,25
3386,21
2773,23
3996,36
2506,91
2216,43
2477,39
3695,25
2453,29
4579,39
3678,1
4383,2
229,49
3628,43
3963,0
1361,21
940,35
4453,0
1581,6
4818,66
3165,-6
4923,0
1324,0
34,35
4568,23
1597,10
3332,29
3438,11
4007,103
1232,19
4555,19
381,57
327,-6
309,16
1416,63
3156,76
4288,25
2307,81
2200,141
1862,35
317,37
4205,38
2073,1
3565,39
1689,50
3675,31
3887,2
2680,37
2699,50
3536,120
2322,62
4909,78
4140,61
157,23
1039,0
2915,14
4416,41
2546,138
4591,-2
758,87
45,49
2019,23
1660,8
2716,27
209,5
198,72
3893,37
3732,16
1011,68
3333,80
611,21
724,15
2315,37
4465,69
4834,70
2919,50
3472,39
1476,12
3595,0
38,22
1085,1
800,0
4577,30
2520,31
395,2
1938,5
4642,0
2953,0
3736,66
1455,25
101,56
2661,-2
4278,53
4902,22
4886,0
2876,25
1583,4
1140,-2
2160,0
2894,31
1546,8
1428,68
3289,-4
2897,58
1323,13
4851,0
2431,37
239,33
2193,72
2256,11
4071,28
3814,-2
3093,15
4066,5
4715,1
974,21
4326,5
2971,7
2730,47
3288,59
2983,97
2305,67
744,0
4433,10
3738,20
3618,19
4286,5
24,21
3804,6
4832,37
449,36
4899,80
450,8
3189,130
3655,90
4170,79
2869,11
1068,-6
2070,56
4804,10
2264,52
4204,-4
2196,13
2152,4
4601,2
2987,20
2326,6
706,57
2101,27
1282,1
145,8
452,2
2329,8
4523,33
2179,90
2325,74
2669,-6
4557,56
524,11
4777,0
4441,72
3819,27
2578,86
3463,49
384,37
2265,11
1417,94
1210,68
4392,26
1152,20
1797,38
2981,0
3106,0
4569,22
2363,-2
3418,72
371,33
1890,1
4315,51
3540,14
1002,12
3181,43
136,0
2568,99
3969,0
4052,65
1291,68
4918,62
3384,68
3274,28
3806,44
180,26
3039,28
1161,102
3121,73
170,72
3504,19
2627,112
2201,23
2372,27
2902,28
4512,-2
11,58
1374,41
896,15
4896,5
6,5
1250,4
30,25
4800,0
2124,15
1596,39
4743,118
2388,13
2543,0
14,35
2119,184
574,115
2065,6
736,83
4628,4
1812,109
1703,75
2841,-2
2663,8
149,82
4526,8
64,-4
1168,29
1074,0
1769,1
1016,80
4664,33
4670,25
2426,150
4922,-6
4603,25
3868,34
4494,20
2015,52
20,0
2380,42
1312,72
991,53
3603,56
3880,46
1327,18
2733,34
3364,102
888,100
4701,33
3052,58
1070,99
2174,25
3342,-1
3185,122
226,65
4717,42
2603,33
4519,67
3643,50
4077,28
1661,11
2033,58
2829,8
3885,65
2930,54
1582,97
292,8
4857,27
4284,82
1241,4
3248,12
4782,8
4858,72
4434,48
3812,8
3857,2
249,8
2180,6
4878,13
4692,31
67,-2
2375,29
1256,0
294,61
1695,0
2945,16
510,0
3086,19
4256,87
2604,0
2633,16
2269,-2
2210,65
4827,17
32,17
4112,91
4080,61
1628,9
481,9
4561,12
4293,4
1279,49
3737,124
2335,0
1787,72
4388,26
4588,99
3007,21
2654,59
2934,8
3209,1
4147,58
2802,48
4425,-2
3339,44
4915,58
3829,1
2277,19
906,21
2905,33
1247,14
3860,52
231,60
4471,85
3291,23
4031,33
199,39
56,3
3373,27
1410,94
600,56
3025,70
1515,16
4281,25
3205,69
1354,25
1816,71
1556,95
3713,87
2409,145
3635,68
4856,0
3743,57
2356,4
3523,8
1381,7
1602,69
1488,61
2236,-2
1135,35
3155,16
58,47
2558,56
918,8
4958,48
4850,124
1848,4
2530,65
4904,-2
2798,21
2095,30
3636,100
807,62
2071,41
3593,50
141,78
114,9
765,20
1618,31
1499,12
3715,28
2703,17
2847,53
2963,2
3352,98
3945,135
2672,68
4772,5
2084,30
3734,0
533,126
1937,8
4432,17
4819,38
841,13
1795,114
2580,36
3813,121
3175,40
565,-6
1574,58
2761,70
938,1
954,68
3666,11
701,29
139,0
3731,74
3709,36
48,-6
1984,34
4540,80
365,126
2972,51
3974,15
1302,13
295,6
690,10
2302,75
3535,-1
3970,58
1394,36
487,9
4916,72
4738,60
1982,102
3767,19
332,26
4387,-6
1999,28
4502,4
47,13
4928,60
2819,47
3022,65
4307,-2
4679,14
4280,27
4545,3
4952,32
4538,46
4115,25
4330,28
2407,4
2704,69
204,87
3654,-2
4039,21
984,1
21,33
4454,6
3623,83
3590,40
3890,74
311,90
553,7
632,86
4768,31
3705,21
235,33
4621,24
2425,19
537,6
2460,25
4580,18
926,33
3669,38
1285,85
3815,6
2268,55
3464,25
4919,33
1375,0
2010,28
4780,163
843,44
813,60
2812,25
1169,101
4723,72
298,97
4334,23
286,0
1714,45
648,83
4596,52
4435,0
4032,104
2181,19
3792,0
987,2
73,6
1276,32
4740,90
3855,39
2199,2
3378,14
1786,-4
2208,34
3909,28
1863,60
4944,25
109,16
4931,129
993,37
2312,-4
1501,64
1402,-2
2617,50
1952,51
