player-name,WK,role,format,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s,Catches,Stumpings,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
Suyash Prabhudessai,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Prabhudessai,0,all,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Prabhudessai,0,all,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Prabhudessai,0,all,fc,16,24,3,922,135,43.90,1617,57.01,1,6,127,9,21,0,16,8,194,132,4,2/34,2/51,33.00,4.08,48.50,0,0,0
Suyash Prabhudessai,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Prabhudessai,0,all,t20,17,16,5,357,60*,32.45,241,148.13,0,1,32,16,11,0,17,6,66,83,1,1/11,1/11,83.00,7.54,66.00,0,0,0
Suyash Prabhudessai,0,all,list-a,29,28,0,653,59,23.32,720,90.69,0,4,59,18,10,0,29,8,235,236,4,2/33,2/33,59.00,6.02,58.70,0,0,0
Devdutt Padikkal,0,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Devdutt Padikkal,0,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Devdutt Padikkal,0,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Devdutt Padikkal,0,bat,fc,15,29,3,907,99,34.88,1794,50.55,0,10,106,6,12,0,15,2,12,6,0,-,-,-,3.00,-,0,0,0
Devdutt Padikkal,0,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Devdutt Padikkal,0,bat,t20,39,39,5,1466,122*,43.11,999,146.74,2,11,155,59,20,0,39,-,-,-,-,-,-,-,-,-,-,-,-
Devdutt Padikkal,0,bat,list-a,20,20,4,1387,152,86.68,1597,86.85,6,8,135,32,7,0,20,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,t20i,5,5,0,105,45,21.00,87,120.68,0,0,6,4,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,fc,19,36,1,988,104,28.22,1638,60.31,1,7,142,4,17,0,19,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,t20,58,58,9,1489,95,30.38,1081,137.74,0,10,146,42,31,8,58,-,-,-,-,-,-,-,-,-,-,-,-
Josh Philippe,1,bat,list-a,15,15,0,464,65,30.93,434,106.91,0,5,59,12,16,2,15,-,-,-,-,-,-,-,-,-,-,-,-
Shahbaz Ahmed,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shahbaz Ahmed,0,all,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shahbaz Ahmed,0,all,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shahbaz Ahmed,0,all,fc,13,19,2,559,82,32.88,1055,52.98,0,4,65,6,7,0,13,20,1536,668,37,7/57,11/101,18.05,2.60,41.50,2,1,1
Shahbaz Ahmed,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shahbaz Ahmed,0,all,t20,28,16,5,203,60*,18.45,174,116.66,0,1,14,6,17,0,28,26,468,532,25,3/7,3/7,21.28,6.82,18.70,0,0,0
Shahbaz Ahmed,0,all,list-a,21,16,5,435,107,39.54,485,89.69,1,1,29,13,7,0,21,21,1014,755,18,3/35,3/35,41.94,4.46,56.30,0,0,0
Virat Kohli,0,bat,test,91,153,10,7490,254*,52.37,13112,57.12,27,25,839,22,88,0,91,11,175,84,0,-,-,-,2.88,-,0,0,0
Virat Kohli,0,bat,t20i,90,84,24,3159,94*,52.65,2272,139.04,0,28,285,90,42,0,90,12,146,198,4,1/13,1/13,49.50,8.13,36.50,0,0,0
Virat Kohli,0,bat,odi,254,245,39,12169,183,59.07,13061,93.17,43,62,1140,125,132,0,254,48,641,665,4,1/15,1/15,166.25,6.22,160.20,0,0,0
Virat Kohli,0,bat,fc,123,201,17,9739,254*,52.92,17015,57.23,34,33,1152,37,119,0,123,25,643,338,3,1/19,2/42,112.66,3.15,214.30,0,0,0
Virat Kohli,0,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Virat Kohli,0,bat,t20,311,296,58,9929,113,41.71,7412,133.95,5,72,879,315,135,0,311,44,454,661,8,2/25,2/25,82.62,8.73,56.70,0,0,0
Virat Kohli,0,bat,list-a,288,278,42,13611,183,57.67,14597,93.24,47,70,1304,149,150,0,288,55,705,726,4,1/15,1/15,181.50,6.17,176.20,0,0,0
Kane Richardson,0,bowl,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kane Richardson,0,bowl,t20i,26,5,2,16,9,5.33,15,106.66,0,0,0,0,12,0,26,26,534,705,29,3/18,3/18,24.31,7.92,18.40,0,0,0
Kane Richardson,0,bowl,odi,25,12,7,75,24*,15.00,68,110.29,0,0,7,4,7,0,25,25,1312,1240,39,5/68,5/68,31.79,5.67,33.60,0,1,0
Kane Richardson,0,bowl,fc,34,52,4,664,49,13.83,1162,57.14,0,0,64,16,10,0,34,63,7045,3505,102,5/69,9/124,34.36,2.98,69.00,7,1,0
Kane Richardson,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kane Richardson,0,bowl,t20,127,44,20,314,45,13.08,268,117.16,0,0,18,11,52,0,127,125,2711,3589,153,4/22,4/22,23.45,7.94,17.70,4,0,0
Kane Richardson,0,bowl,list-a,90,52,18,449,36,13.20,489,91.82,0,0,39,12,21,0,90,89,4828,4243,145,6/48,6/48,29.26,5.27,33.20,2,6,0
Glenn Maxwell,0,all,test,7,14,1,339,104,26.07,570,59.47,1,0,33,7,5,0,7,9,462,341,8,4/127,4/127,42.62,4.42,57.70,1,0,0
Glenn Maxwell,0,all,t20i,72,65,9,1780,145*,31.78,1120,158.92,3,9,147,93,35,0,72,47,648,811,31,3/10,3/10,26.16,7.50,20.90,0,0,0
Glenn Maxwell,0,all,odi,116,106,12,3230,108,34.36,2575,125.43,2,22,309,116,72,0,116,91,2840,2683,51,4/46,4/46,52.60,5.66,55.60,2,0,0
Glenn Maxwell,0,all,fc,67,112,10,4061,278,39.81,5536,73.35,7,23,459,63,55,0,67,98,5680,3174,77,5/40,6/76,41.22,3.35,73.70,3,1,0
Glenn Maxwell,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Glenn Maxwell,0,all,t20,313,292,39,6897,145*,27.26,4534,152.11,3,40,560,347,160,0,313,206,2702,3480,110,3/10,3/10,31.63,7.72,24.50,0,0,0
Glenn Maxwell,0,all,list-a,188,170,20,5115,146,34.10,4197,121.87,5,32,498,178,117,0,188,145,4719,4330,95,4/46,4/46,45.57,5.50,49.60,2,0,0
Adam Zampa,0,bowl,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adam Zampa,0,bowl,t20i,41,7,5,36,13*,18.00,34,105.88,0,0,4,0,7,0,41,40,845,975,43,3/14,3/14,22.67,6.92,19.60,0,0,0
Adam Zampa,0,bowl,odi,61,27,7,128,22,6.40,214,59.81,0,0,8,1,11,0,61,61,3248,3004,92,4/43,4/43,32.65,5.54,35.30,3,0,0
Adam Zampa,0,bowl,fc,38,61,7,1177,74,21.79,1627,72.34,0,6,133,14,9,0,38,66,7697,5068,105,6/62,10/119,48.26,3.95,73.30,3,2,1
Adam Zampa,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adam Zampa,0,bowl,t20,173,53,23,208,23,6.93,231,90.04,0,0,18,3,26,0,173,169,3585,4403,200,6/19,6/19,22.01,7.36,17.90,0,2,0
Adam Zampa,0,bowl,list-a,102,58,14,637,66,14.47,672,94.79,0,3,63,18,20,0,102,101,5545,4987,154,4/18,4/18,32.38,5.39,36.00,6,0,0
Harshal Patel,0,bowl,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harshal Patel,0,bowl,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harshal Patel,0,bowl,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harshal Patel,0,bowl,fc,64,99,16,1363,83,16.42,2738,49.78,0,5,136,45,25,0,64,113,10519,5326,226,8/34,12/53,23.56,3.03,46.50,12,12,4
Harshal Patel,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harshal Patel,0,bowl,t20,103,64,17,822,82,17.48,546,150.54,0,3,77,50,21,0,103,101,2120,2821,115,5/27,5/27,24.53,7.98,18.40,0,1,0
Harshal Patel,0,bowl,list-a,57,43,7,570,69*,15.83,608,93.75,0,3,39,27,12,0,57,56,2428,2159,80,5/21,5/21,26.98,5.33,30.30,1,1,0
Pavan Deshpande,0,all,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pavan Deshpande,0,all,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pavan Deshpande,0,all,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pavan Deshpande,0,all,fc,8,12,2,255,70,25.50,555,45.94,0,2,28,3,6,0,8,10,565,302,14,3/5,6/93,21.57,3.20,40.30,0,0,0
Pavan Deshpande,0,all,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pavan Deshpande,0,all,t20,23,18,6,463,63,38.58,320,144.68,0,3,36,17,7,0,23,11,117,163,4,2/34,2/34,40.75,8.35,29.20,0,0,0
Pavan Deshpande,0,all,list-a,23,22,1,777,95,37.00,804,96.64,0,7,77,15,5,0,23,8,162,139,2,1/10,1/10,69.50,5.14,81.00,0,0,0
Yuzvendra Chahal,0,bowl,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yuzvendra Chahal,0,bowl,t20i,48,4,2,5,3*,2.50,11,45.45,0,0,0,0,9,0,48,48,1125,1575,62,6/25,6/25,25.40,8.40,18.10,2,1,0
Yuzvendra Chahal,0,bowl,odi,54,10,4,53,18*,8.83,90,58.88,0,0,7,0,15,0,54,53,2893,2511,92,6/42,6/42,27.29,5.20,31.40,2,2,0
Yuzvendra Chahal,0,bowl,fc,31,47,10,324,42,8.75,1084,29.88,0,0,38,2,11,0,31,48,5463,2790,84,6/44,8/112,33.21,3.06,65.00,3,2,0
Yuzvendra Chahal,0,bowl,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yuzvendra Chahal,0,bowl,t20,206,33,20,64,10,4.92,122,52.45,0,0,1,0,54,0,206,204,4390,5583,226,6/25,6/25,24.70,7.63,19.40,4,1,0
Yuzvendra Chahal,0,bowl,list-a,106,40,19,261,24*,12.42,448,58.25,0,0,25,1,26,0,106,102,5171,4193,153,6/24,6/24,27.40,4.86,33.70,3,4,0
Sachin Baby,0,bat,test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachin Baby,0,bat,t20i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachin Baby,0,bat,odi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachin Baby,0,bat,fc,72,112,8,3251,250*,31.25,7480,43.46,6,14,324,36,67,0,72,34,882,466,10,3/24,3/24,46.60,3.17,88.20,0,0,0
Sachin Baby,0,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachin Baby,0,bat,t20,80,64,8,1499,79,26.76,1113,134.68,0,7,128,46,33,0,80,14,176,228,7,2/4,2/4,32.57,7.77,25.10,0,0,0
Sachin Baby,0,bat,list-a,78,73,7,2618,127,39.66,3244,80.70,3,17,219,30,21,0,78,25,564,552,12,2/11,2/11,46.00,5.87,47.00,0,0,0
AB de Villiers,1,bat,test,114,191,18,8765,278*,50.66,16077,54.51,22,46,1024,64,222,5,114,5,204,104,2,2/49,2/49,52.00,3.05,102.00,0,0,0
AB de Villiers,1,bat,t20i,78,75,11,1672,79*,26.12,1237,135.16,0,10,140,60,65,7,78,-,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers,1,bat,odi,228,218,39,9577,176,53.50,9473,101.09,25,53,840,204,176,5,228,9,192,202,7,2/15,2/15,28.85,6.31,27.40,0,0,0
AB de Villiers,1,bat,fc,141,238,23,10689,278*,49.71,19026,56.18,25,60,,,275,6,141,,234,138,2,2/49,,69.00,3.53,117.00,0,0,0
AB de Villiers,1,bat,list a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
