sr.no,player,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s

1,andrerussell,,81,68,11,1680,88*,29.47,937,179.29,0,9,117,142
2,sunilnarine,,124,70,13,902,75,15.82,558,161.64,0,4,105,52
3,moeenali,,25,23,2,515,66,24.52,326,157.97,0,4,43,35
4,nicholaspooran,,28,26,4,549,77,24.95,348,157.75,0,2,35,40
5,chrismorris,,77,48,23,599,82*,23.96,380,157.63,0,2,39,35
6,hardikpandya,,87,80,29,1401,91,27.47,891,157.23,0,4,91,95
7,virendersehwag,,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
8,glennmaxwell,,89,85,11,1728,95,23.35,"1,127",153.32,0,8,139,101
9,abdevilliers,,176,162,38,5056,133*,40.77,"3,318",152.38,3,40,406,245
10,kieronpollard,,171,154,50,3191,87*,30.68,"2,115",150.87,0,16,207,211
11,samcurran,,30,22,8,333,55*,23.78,221,150.67,0,2,30,18
12,shimronhetmyer,,23,22,8,359,75,25.64,239,150.20,0,2,20,25
13,josbuttler,,65,64,8,1968,124,35.14,"1,312",150.00,1,11,194,90
14,rishabhpant,,76,76,11,2292,128*,35.26,"1,530",149.80,1,14,208,107
15,chrisgayle,,140,139,16,4950,175*,40.24,"3,312",149.45,6,31,404,357
16,prithvishaw,,46,46,0,1134,99,24.65,776,146.13,0,9,136,39
17,sanathjayasuriya,,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
18,ashishreddy,,31,24,9,280,36*,18.66,193,145.07,0,0,16,15
19,michaellumb,,12,12,0,278,83,23.16,194,143.29,0,1,45,6
20,yusufpathan,,174,154,44,3204,100,29.12,"2,241",142.97,1,13,262,158
21,jonnybairstow,,28,28,3,1038,114,41.52,730,142.19,1,7,99,46
22,albiemorkel,,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
23,hashimamla,,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
24,krunalpandya,,78,67,21,1100,86,23.91,778,141.38,0,1,103,44
25,chrislynn,,42,42,3,1329,93*,34.07,945,140.63,0,10,132,66
26,patcummins,,37,26,10,316,66*,19.75,225,140.44,0,2,19,20
27,davidwarner,,148,148,19,5447,126,42.22,"3,887",140.13,4,50,525,201
